image_name,message
20056.bmp,Abundance
20057.bmp,Acceptance
20058.bmp,Adventure
20059.bmp,Ambition
20060.bmp,Authenticity
20061.bmp,Balance
20062.bmp,Beauty
20064.bmp,Belief
20066.bmp,Bravery
20067.bmp,Calm
20068.bmp,Care
20069.bmp,Change
20070.bmp,Clarity
20071.bmp,Collaboration
20072.bmp,Commitment
20073.bmp,Compassion
20074.bmp,Confidence
20075.bmp,Connection
20076.bmp,Consistency
20077.bmp,Courage
20078.bmp,Creativity
20079.bmp,Curiosity
20080.bmp,Dedication
20081.bmp,Delight
20082.bmp,Determination
20083.bmp,Devotion
20084.bmp,Discovery
20085.bmp,Dignity
20087.bmp,Discipline
20088.bmp,Dream
20089.bmp,Drive
20090.bmp,Empathy
20091.bmp,Encouragement
20092.bmp,Energy
20093.bmp,Enlightenment
20094.bmp,Excellence
20095.bmp,Faith
20096.bmp,Family
20098.bmp,Flexibility
20099.bmp,Focus
20100.bmp,Forgiveness
20106.bmp,Freedom
20107.bmp,Friendship
20108.bmp,Generosity
20109.bmp,Gratitude
20111.bmp,Growth
20112.bmp,Happiness
20113.bmp,Harmony
20114.bmp,Healing
20115.bmp,Hope
20116.bmp,Honesty
20117.bmp,Humility
20120.bmp,Imagination
20123.bmp,Independence
20124.bmp,Influence
20126.bmp,Innovation
20127.bmp,Insight
20129.bmp,Inspiration
20131.bmp,Integrity
20133.bmp,Intelligence
20134.bmp,Intention
20136.bmp,Intuition
20137.bmp,Joy
20138.bmp,Justice
20140.bmp,Kindness
20142.bmp,Knowledge
20144.bmp,Leadership
20147.bmp,Learning
20148.bmp,Legacy
20150.bmp,Liberty
20151.bmp,Light
20152.bmp,Listening
20153.bmp,Logic
20154.bmp,Love
20157.bmp,Loyalty
20158.bmp,Mindfulness
20159.bmp,Motivation
20160.bmp,Nature
20161.bmp,Nurture
20162.bmp,Optimism
20163.bmp,Opportunity
20164.bmp,Passion
20165.bmp,Patience
20166.bmp,Peace
20167.bmp,Perseverance
20168.bmp,Perspective
20170.bmp,Potential
20171.bmp,Power
20172.bmp,Presence
20173.bmp,Progress
20174.bmp,Purpose
20175.bmp,Reflection
20176.bmp,Respect
20177.bmp,Responsibility
20178.bmp,Security
20179.bmp,Self-awareness
20181.bmp,Serenity
20183.bmp,Strength
20184.bmp,Success
20185.bmp,Wisdom
